Path URL,Description,Entity,Error Response,HTTP Methods,Success Response
/api/v1/employee/all,Get All Employees,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Employees.
/api/v1/employee/{employee_no},Get Employees by employee number,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Employee Object
/api/v1/employee/office/{office_code},Get Employees by office_code,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Employees.
/api/v1/employee/city/{city},Get Employees by city,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Employees.
/api/v1/employee/add,"Add new Employee ",Employee,"{
""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”
}",POST,"{
""timeStamp"":""2023-06-08"",
""message"": ""Employee details added successfully”
}"
/api/v1/employee/update/{employee_number},Update Employee by employee_number,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Employee details updated successfully”
}"
/api/v1/employee/{old_employee_number}/reports_to/{new_employee_number},Update employee’s reporting hierarchy,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Employee details updated successfully”
}"
/api/v1/employee/role/{role},Update the role of employee,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Employee role updated successfully”
}"
/api/v1/employee/{employee_number}/map_to_office/{office_code},"Update Employee office details by office_code and employee_number ",Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Employee office details updated successfully”
}"
/api/v1/employee/delete/{employee_number},Delete Employee by employee_number,Employee,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",DELETE,"{
""timeStamp"":""2023-06-08"",
""message"": ""Employee details deleted successfully”
}"
/api/v1/office/all,Get All Offices,Office,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Offices.
/api/v1/office/{office_code},Get Office by office_code,Office,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Office Object
/api/v1/office/{city1}/{city2}/{cityN},"Get office details from 
provided list of different cities",Office,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Employees.
/api/v1/office/add,Add new Office,Office,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",POST,"{
""timeStamp"":""2023-06-08"",
""message"": ""Office details added successfully”
}"
/api/v1/office/{office_code}/{phone_number},Update Office with new phone number,Office,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Office phone number updated successfully”
}"
/api/v1/office/update/{office_code},Update Office Object,Office,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",PUT,"{
""timeStamp"":""2023-06-08"",
""message"": ""Office details updated successfully”
}"
/api/v1/orderdetails/all,Get All OrderDetails,OrderDetails,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of OrderDetails.
/api/v1/orderdetails/{order_number},Get OrderDetails by order_number,OrderDetails,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of OrderDetails
/api/v1/orderdetails/{order_number}/{product_code},"Get OrderDetails ",OrderDetails,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,OrderDetails Object
/api/v1/orderdetails/total_orders/{order_number},"Get Sum of all order by order_number ",OrderDetails,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Sum of OrderDetails
/api/v1/orderdetails/total_sales,Get Total Sales of OrderDetails,OrderDetails,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Total Sales of OrderDetails
/api/v1/orderdetails/add,Add new OrderDetails,OrderDetails,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",POST,"{
""timeStamp"":""2023-06-08"",
""message"": ""Order details added successfully”
}"
/api/v1/customer/all,Get All Customers,Customer,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Customers.
/api/v1/customer/{customer_number},"Get Customer by customer_number ",Customer,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Customer Object
/api/v1/customer/office/{office_code},"Get Customers by office_code ",Customer,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Collection of Customers.
/api/v1/customer/customer_name/{customer_name},Get Customer by customer_name,Customer,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Customer Object.
/api/v1/customer/sales_rep_employee_number/{sales_rep_employee_number},Get Customer by sales_rep_employee_number,Customer,"{""timeStamp"":""2023-06-08"",
""message"": ""Validation failed”}",GET,Customer Object.
